"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idõ";"Idõ";"Összefoglaló";"Módszer"
"10";"818182";"909090";"6671";"1471900079875";"698";"";""
"11";"1";"1000000";"78498";"1471900079738";"839";"true";"Prim2"
"3";"167";"249";"15";"1471900080642";"0";"";""
"5";"333";"415";"13";"1471900080642";"0";"";""
"7";"499";"581";"12";"1471900080642";"0";"";""
"6";"416";"498";"14";"1471900080642";"0";"";""
"4";"250";"332";"14";"1471900080642";"0";"";""
"2";"84";"166";"15";"1471900080642";"0";"";""
"1";"1";"83";"23";"1471900080642";"0";"";""
"11";"831";"913";"11";"1471900080659";"0";"";""
"12";"914";"1000";"12";"1471900080659";"0";"";""
"10";"748";"830";"13";"1471900080659";"0";"";""
"8";"582";"664";"15";"1471900080658";"0";"";""
"9";"665";"747";"11";"1471900080657";"0";"";""
"12";"1";"1000";"168";"1471900080642";"36";"true";"Prim2"
"1";"1";"833";"145";"1471900080682";"0";"";""
"5";"3333";"4165";"103";"1471900080683";"0";"";""
"3";"1667";"2499";"106";"1471900080683";"0";"";""
"4";"2500";"3332";"103";"1471900080683";"0";"";""
"2";"834";"1666";"116";"1471900080682";"1";"";""
"12";"9164";"10000";"93";"1471900080689";"0";"";""
"11";"8331";"9163";"91";"1471900080688";"1";"";""
"10";"7498";"8330";"96";"1471900080687";"0";"";""
"9";"6665";"7497";"90";"1471900080686";"1";"";""
"8";"5832";"6664";"94";"1471900080685";"0";"";""
"7";"4999";"5831";"97";"1471900080685";"0";"";""
"6";"4166";"4998";"95";"1471900080684";"1";"";""
"12";"1";"10000";"1229";"1471900080682";"26";"true";"Prim2"
"2";"8334";"16666";"883";"1471900080712";"5";"";""
"3";"16667";"24999";"834";"1471900080713";"5";"";""
"10";"74998";"83330";"741";"1471900080722";"9";"";""
"9";"66665";"74997";"748";"1471900080722";"8";"";""
"8";"58332";"66664";"740";"1471900080722";"8";"";""
"4";"25000";"33332";"807";"1471900080713";"7";"";""
"7";"49999";"58331";"773";"1471900080732";"10";"";""
"1";"1";"8333";"1045";"1471900080715";"5";"";""
"5";"33333";"41665";"790";"1471900080720";"23";"";""
"6";"41666";"49998";"773";"1471900080732";"10";"";""
"11";"83331";"91663";"725";"1471900080722";"10";"";""
"12";"91664";"100000";"733";"1471900080737";"11";"";""
"12";"1";"100000";"9592";"1471900080712";"41";"true";"Prim2"
"1";"1";"83333";"8134";"1471900080753";"422";"";""
"2";"83334";"166666";"7091";"1471900080753";"477";"";""
"4";"250000";"333332";"6621";"1471900080753";"603";"";""
"3";"166667";"249999";"6819";"1471900080753";"569";"";""
"9";"666665";"749997";"6169";"1471900080793";"663";"";""
"6";"416666";"499998";"6407";"1471900080793";"631";"";""
"5";"333333";"416665";"6466";"1471900080831";"591";"";""
"7";"499999";"583331";"6300";"1471900080793";"665";"";""
"8";"583332";"666664";"6231";"1471900080793";"683";"";""
"10";"749998";"833330";"6181";"1471900080831";"653";"";""
"11";"833331";"916663";"6070";"1471900080831";"686";"";""
"12";"916664";"1000000";"6009";"1471900080895";"633";"";""
"12";"1";"1000000";"78498";"1471900080753";"778";"true";"Prim2"
"1";"1";"1000";"168";"1471900092476";"0";"";""
"1";"1";"1000";"168";"1471900092475";"2";"true";"Prim3"
"1";"1";"10000";"1229";"1471900092477";"0";"";""
"1";"1";"10000";"1229";"1471900092477";"0";"true";"Prim3"
"1";"1";"100000";"9592";"1471900092477";"162";"";""
"1";"1";"100000";"9592";"1471900092477";"162";"true";"Prim3"
"1";"1";"1000000";"78498";"1471900092639";"8270";"";""
"1";"1";"1000000";"78498";"1471900092639";"8270";"true";"Prim3"
"1";"1";"666";"121";"1471900101009";"0";"";""
"2";"667";"1000";"47";"1471900101010";"0";"";""
"2";"1";"1000";"168";"1471900101008";"2";"true";"Prim3"
"2";"6667";"10000";"370";"1471900101010";"0";"";""
"1";"1";"6666";"859";"1471900101010";"0";"";""
"2";"1";"10000";"1229";"1471900101010";"0";"true";"Prim3"
"2";"66667";"100000";"2947";"1471900101029";"32";"";""
"1";"1";"66666";"6645";"1471900101029";"72";"";""
"2";"1";"100000";"9592";"1471900101028";"73";"true";"Prim3"
"2";"666667";"1000000";"24429";"1471900101101";"1666";"";""
"1";"1";"666666";"54069";"1471900101101";"4206";"";""
"2";"1";"1000000";"78498";"1471900101101";"4224";"true";"Prim3"
"1";"1";"571";"105";"1471900105388";"0";"";""
"3";"857";"1000";"21";"1471900105388";"0";"";""
"2";"572";"856";"42";"1471900105388";"0";"";""
"3";"1";"1000";"168";"1471900105388";"0";"true";"Prim3"
"3";"8572";"10000";"162";"1471900105407";"0";"";""
"1";"1";"5714";"752";"1471900105407";"2";"";""
"2";"5715";"8571";"315";"1471900105407";"1";"";""
"3";"1";"10000";"1229";"1471900105406";"7";"true";"Prim3"
"3";"85714";"100000";"1250";"1471900105418";"1";"";""
"2";"57143";"85713";"2548";"1471900105417";"22";"";""
"1";"1";"57142";"5794";"1471900105417";"63";"";""
"3";"1";"100000";"9592";"1471900105417";"63";"true";"Prim3"
"3";"857143";"1000000";"10359";"1471900105480";"576";"";""
"2";"571429";"857142";"21204";"1471900105480";"1351";"";""
"1";"1";"571428";"46935";"1471900105480";"3330";"";""
"3";"1";"1000000";"78498";"1471900105480";"3332";"true";"Prim3"
"1";"1";"533";"99";"1471900108883";"0";"";""
"3";"800";"932";"19";"1471900108883";"0";"";""
"4";"933";"1000";"10";"1471900108883";"0";"";""
"2";"534";"799";"40";"1471900108883";"0";"";""
"4";"1";"1000";"168";"1471900108882";"8";"true";"Prim3"
"4";"9333";"10000";"75";"1471900108894";"0";"";""
"1";"1";"5333";"706";"1471900108894";"2";"";""
"2";"5334";"7999";"301";"1471900108894";"1";"";""
"3";"8000";"9332";"147";"1471900108894";"1";"";""
"4";"1";"10000";"1229";"1471900108893";"9";"true";"Prim3"
"4";"93333";"100000";"576";"1471900108903";"0";"";""
"3";"80000";"93332";"1179";"1471900108903";"19";"";""
"2";"53334";"79999";"2397";"1471900108903";"36";"";""
"1";"1";"53333";"5440";"1471900108903";"61";"";""
"4";"1";"100000";"9592";"1471900108903";"61";"true";"Prim3"
"4";"933333";"1000000";"4787";"1471900108964";"249";"";""
"3";"800000";"933332";"9760";"1471900108964";"526";"";""
"2";"533334";"799999";"19870";"1471900108964";"1219";"";""
"1";"1";"533333";"44081";"1471900108964";"2946";"";""
"4";"1";"1000000";"78498";"1471900108964";"2946";"true";"Prim3"
"1";"1";"516";"97";"1471900111979";"0";"";""
"2";"517";"774";"40";"1471900111979";"0";"";""
"5";"968";"1000";"5";"1471900111980";"0";"";""
"4";"904";"967";"9";"1471900111979";"0";"";""
"3";"775";"903";"17";"1471900111979";"0";"";""
"5";"1";"1000";"168";"1471900111978";"3";"true";"Prim3"
"5";"9677";"10000";"36";"1471900111981";"0";"";""
"1";"1";"5161";"687";"1471900111981";"0";"";""
"2";"5162";"7741";"295";"1471900111981";"0";"";""
"3";"7742";"9031";"140";"1471900111981";"0";"";""
"4";"9032";"9676";"71";"1471900111981";"0";"";""
"5";"1";"10000";"1229";"1471900111981";"21";"true";"Prim3"
"5";"96773";"100000";"276";"1471900112002";"0";"";""
"4";"90322";"96772";"570";"1471900112002";"0";"";""
"3";"77419";"90321";"1141";"1471900112002";"21";"";""
"2";"51613";"77418";"2323";"1471900112002";"39";"";""
"1";"1";"51612";"5282";"1471900112002";"70";"";""
"5";"1";"100000";"9592";"1471900112002";"72";"true";"Prim3"
"5";"967742";"1000000";"2317";"1471900112079";"129";"";""
"4";"903226";"967741";"4676";"1471900112079";"248";"";""
"3";"774194";"903225";"9457";"1471900112079";"506";"";""
"2";"516130";"774193";"19302";"1471900112078";"1173";"";""
"1";"1";"516129";"42746";"1471900112103";"2774";"";""
"5";"1";"1000000";"78498";"1471900112078";"2799";"true";"Prim3"
"1";"1";"507";"96";"1471900114965";"0";"";""
"3";"761";"886";"19";"1471900114966";"0";"";""
"5";"950";"980";"4";"1471900114968";"0";"";""
"4";"887";"949";"8";"1471900114966";"0";"";""
"2";"508";"760";"38";"1471900114965";"0";"";""
"6";"981";"1000";"3";"1471900114968";"0";"";""
"6";"1";"1000";"168";"1471900114964";"4";"true";"Prim3"
"1";"1";"5079";"678";"1471900114968";"0";"";""
"3";"7619";"8887";"140";"1471900114968";"17";"";""
"6";"9839";"10000";"16";"1471900114968";"16";"";""
"4";"8888";"9521";"72";"1471900114968";"0";"";""
"5";"9522";"9838";"34";"1471900114968";"0";"";""
"2";"5080";"7618";"289";"1471900114968";"0";"";""
"6";"1";"10000";"1229";"1471900114968";"20";"true";"Prim3"
"4";"88888";"95236";"570";"1471900114988";"22";"";""
"6";"98411";"100000";"143";"1471900115018";"2";"";""
"3";"76190";"88887";"1112";"1471900114988";"28";"";""
"5";"95237";"98410";"268";"1471900115019";"10";"";""
"2";"50794";"76189";"2295";"1471900114988";"41";"";""
"1";"1";"50793";"5204";"1471900114988";"73";"";""
"6";"1";"100000";"9592";"1471900114988";"76";"true";"Prim3"
"6";"984127";"1000000";"1140";"1471900115103";"48";"";""
"5";"952381";"984126";"2275";"1471900115103";"108";"";""
"4";"888889";"952380";"4605";"1471900115069";"279";"";""
"3";"761905";"888888";"9349";"1471900115068";"521";"";""
"2";"507937";"761904";"18994";"1471900115068";"1150";"";""
"1";"1";"507936";"42135";"1471900115068";"2768";"";""
"6";"1";"1000000";"78498";"1471900115068";"2770";"true";"Prim3"
