"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"13";"85705";"92846";"628";"1475227734892";"3";"";""
"12";"78563";"85704";"633";"1475227734891";"6";"";""
"14";"92847";"100000";"623";"1475227734896";"3";"";""
"14";"1";"100000";"9592";"1475227734863";"38";"true";"Prim2"
"1";"1";"71428";"7074";"1475227734905";"30";"";""
"2";"71429";"142856";"6178";"1475227734906";"45";"";""
"3";"142857";"214284";"5901";"1475227734917";"49";"";""
"4";"214285";"285712";"5747";"1475227734938";"61";"";""
"5";"285713";"357140";"5633";"1475227734952";"60";"";""
"6";"357141";"428568";"5512";"1475227734967";"66";"";""
"7";"428569";"499996";"5493";"1475227734988";"88";"";""
"8";"499997";"571424";"5397";"1475227735022";"94";"";""
