"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"6";"35716";"42858";"686";"1475232027783";"4";"";""
"7";"42859";"50001";"652";"1475232027784";"4";"";""
"8";"50002";"57144";"662";"1475232027789";"4";"";""
"9";"57145";"64287";"642";"1475232027792";"6";"";""
"10";"64288";"71430";"638";"1475232027797";"4";"";""
"11";"71431";"78573";"635";"1475232027800";"4";"";""
"12";"78574";"85716";"632";"1475232027803";"5";"";""
"13";"85717";"92859";"629";"1475232027806";"5";"";""
"14";"92860";"100000";"621";"1475232027809";"4";"";""
"14";"1";"100000";"9592";"1475232027772";"41";"true";"Prim2"
"1";"1";"71429";"7075";"1475232027814";"28";"";""
"2";"71430";"142858";"6177";"1475232027815";"36";"";""
"3";"142859";"214287";"5901";"1475232027841";"37";"";""
"4";"214288";"285716";"5747";"1475232027849";"49";"";""
"5";"285717";"357145";"5633";"1475232027860";"42";"";""
"6";"357146";"428574";"5513";"1475232027881";"53";"";""
"8";"500004";"571432";"5397";"1475232027903";"54";"";""
"7";"428575";"500003";"5492";"1475232027899";"65";"";""
